,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
4199,CONVERT (E) DETACHED 2-CAR GARAGE TO ACCESSORY DWELLING UNIT PER AB 22,2017-04-14,45000.0,726.0,1.0,0.0,RE11-1,2329022011,2329022011,Residential,Single Family Residence,2017-03-10,3.0,2.0,1,"588,737.00"
4200,NEW 1-STORY TYPE VB ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2020-02-26,90001.0,1112.25,,1.0,RA-1,2104001015,2104001015,Residential,Single Family Residence,2018-07-13,3.0,2.0,1,"600,000.00"
4201,"CONVERT (E) 20'-2"" X 28'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-03-01,24000.0,521.0,,0.0,R1-1,2338028009,2338028009,Residential,Single Family Residence,2017-06-29,3.0,2.0,1,"900,000.00"
4202,CONVERSION OF (E) GARAGE TO ACCESSORY DWELLING UNIT AND ADDITION TO AC,2020-02-24,30000.0,442.0,,1.0,R1-1,4230027035,4230027035,Residential,Single Family Residence,2018-04-27,2.0,1.0,1,"438,992.00"
4203,New 25'x 48' single-story Accessory Dwelling Unit per AB 494 & SB 229.,2019-12-17,1210000.0,1200.0,,1.0,R1-1,2202024012,2202024012,Residential,Single Family Residence,2013-09-26,2.0,1.0,1,"187,382.00"
4204,(N) ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-12-18,204490.0,1194.0,,1.0,R1-1,6048032036,6048032036,Residential,Single Family Residence,1993-01-12,2.0,1.0,1,"17,084.00"
4205,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-12-18,11000.0,325.0,,,R1-1-O,4315009025,4315009025,Residential,Single Family Residence,1996-07-18,2.0,2.0,1,"491,429.00"
4206,CONVERT (E) ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 2299,2017-04-18,22000.0,400.0,1.0,,RS-1,2151023017,2151023017,Residential,Single Family Residence,2017-03-06,4.0,2.0,1,"738,683.00"
4207,"NEW 28'-0"" X 35'-8"" IRREGULAR SHAPE DETACHED ACCESSORY DWELLING UNIT P",2019-12-20,95000.0,945.0,,1.0,R1-1-CUGU,2533007010,2533007010,Residential,Single Family Residence,2016-09-15,3.0,1.0,1,"44,999.00"
4208,CONVERT EX DET 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AN,2018-11-09,20000.0,335.0,,1.0,RA-1-CUGU,2634034009,2634034009,Residential,Single Family Residence,2011-12-06,3.0,2.0,1,"281,491.00"
4209,"New 1200 sf ADU at rear per AB 494, SB 229, and WFPP",2018-08-21,122000.0,1200.0,,1.0,R1-1,6050025008,6050025008,Residential,Single Family Residence,2017-04-19,3.0,2.0,1,"384,947.00"
4210,"CONVERT 20' 4"" X 18' 4"" DETACHED 2-CAR GARAGE TO ACCESSORY DWELLING UN",2019-09-09,20000.0,335.0,,1.0,R1-1-RIO,2242003015,2242003015,Residential,Single Family Residence,2013-08-27,3.0,1.0,1,"365,497.00"
4211,CONVERT THE 2ND FLR REC. ROOM INTO AN ACCESSORY DWELLING UNIT PER AB 4,2019-12-19,10000.0,0.0,,,R1-1-RIO,2265022012,2265022012,Residential,Single Family Residence,2003-03-07,3.0,2.0,1,"572,611.00"
4212,ECPC  -  CONVERT (E) ATT. GARAGE TO ADU PER AB 494 AND SB 229,2019-08-22,20000.0,400.0,,,RS-1,2033014007,2033014007,Residential,Single Family Residence,2005-01-26,3.0,2.0,1,"593,408.00"
4213,NEW 2-STORY 20'X30' IRR SAHPE ACCESSORY DWELLING UNIT PER AB 494 & SB,2019-12-18,120000.0,1060.0,,2.0,RS-1,2681019001,2681019001,Residential,Single Family Residence,2018-09-25,4.0,2.0,1,"478,023.00"
4214,"NEW 40'-0"" X 31'-0"" ACCESSORY DWELLING UNIT PER AB494 AND SB229. ALL W",2019-12-19,120000.0,1170.0,,1.0,R1-1,2331025034,2331025034,Residential,Single Family Residence,2016-05-03,4.0,3.0,1,"880,801.00"
4215,CONVERT EX DET 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AN,2018-10-23,39000.0,800.0,,1.0,R1-1,5691003028,5691003028,Residential,Single Family Residence,2018-09-19,2.0,1.0,1,"465,139.00"
4216,"CONVERT (E) 24'9-1/2"" X 20'7""ATTACHED GARAGE TO ACCESSORY DWELLING UNI",2019-12-20,24000.0,2166.0,0.0,,RE11-1,2028039031,2028039031,Residential,Single Family Residence,2007-08-15,3.0,3.0,1,"747,000.00"
4217,CONVERT EXITING GARAGE TO STORAGE AND ACCESSORY DWELLING UNIT PER AB49,2019-12-20,55000.0,820.0,,1.0,R2-1,5014013007,5014013007,Residential,Single Family Residence,2009-11-16,3.0,2.0,1,"311,267.00"
4218,CONVERSION OF 221 SF (E) ONE CAR GARAGE TO AN ADU PER AB 494 & SB229.,2020-02-25,40000.0,,,,R1V2,4246022021,4246022021,Residential,Single Family Residence,1998-02-05,2.0,2.0,1,"83,238.00"
4219,"ADD (N) (18'-5""x 24.5"") ACCESSORY DWELLING UNIT ABOVE DETACHED GARGE P",2018-07-10,39000.0,482.0,,2.0,R1-1-RIO,2360001022,2360001022,Residential,Single Family Residence,2016-02-03,3.0,2.0,1,"763,007.00"
4220,Covert existing recreation room on 2nd level to accessory dwelling uni,2019-11-22,30000.0,0.0,,,R1-1,2415011005,,,,,,,,
4221,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-12-16,40000.0,567.0,,1.0,R1-1-RIO,2366013014,2366013014,Residential,Single Family Residence,2010-12-02,4.0,2.0,1,"1,158,336.00"
4222,"CONVERT (17'-6"" x 21'-11"") ATTACHED GARAGE TO ACCESSORY DWELLING UNIT",2019-05-20,20000.0,385.0,0.0,0.0,RS-1,2014009006,2014009006,Residential,Single Family Residence,2011-04-20,3.0,2.0,1,"458,245.00"
4223,NEW 2STORY ADU AT THE FIRST FLOOR AND REC ROOM ON SECOND FLOOR ATTACHE,2018-09-12,80000.0,2790.0,0.0,2.0,R1V2,4243032011,4243032011,Residential,Single Family Residence,2008-02-25,4.0,2.0,1,"582,685.00"
4224,CONVERT ATTACHED GARAGE AND RECREATION ROOM TO ACCESSORY DWELLING UNIT,2019-12-20,30000.0,2385.0,0.0,,RA-1,2656028016,2656028016,Residential,Single Family Residence,2008-07-02,2.0,2.0,1,"404,033.00"
4225,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-10-04,21000.0,1589.0,0.0,,RS-1,2033007015,2033007015,Residential,Single Family Residence,2018-07-03,3.0,2.0,1,"80,034.00"
4226,ADDITION OF A 2-STORY ADU ATTACHED TO (E) GARAGE PER AB 494 & SB 229,2019-12-17,164400.0,1200.0,,2.0,R1V2,4258003002,4258003002,Residential,Single Family Residence,2017-11-21,4.0,2.0,1,"936,805.00"
4227,CONVERT (E) DETACHED GARAGE  INTO A (N) ACCESSORY DWELLING UNIT PER A,2019-05-08,46000.0,1157.6,,1.0,RA-1-K,2542017009,2542017009,Residential,Single Family Residence,2016-07-15,4.0,3.0,1,"853,127.00"
4228,Conversion of (E) attached garage to SFD into an Accessory Dwelling Un,2019-12-02,10000.0,1945.0,0.0,1.0,R1-1-O,5042026023,5042026023,Residential,Single Family Residence,2018-11-02,0.0,0.0,0,"121,210.00"
4229,CONVERT (E) ATTACHED GARAGE TO AN ACCESSORY DWELLING UNIT PER AB 494 A,2019-12-19,20000.0,346.0,0.0,,R1-1,4223005024,4223005024,Residential,Single Family Residence,2016-02-12,3.0,2.0,1,"142,365.00"
4230,CONVERT (E) 19' X 20' ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-12-20,17000.0,360.0,0.0,0.0,R1-1-CUGU,2315012033,2315012033,Residential,Single Family Residence,2013-06-21,3.0,2.0,1,"343,973.00"
4231,NEW 20' x 32' DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2019-12-17,65000.0,640.0,,1.0,R2-1,5116016006,5116016006,Residential,Single Family Residence,2018-09-20,4.0,2.0,1,"231,421.00"
4232,CONVERT THE (E) DETACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER,2019-05-15,37000.0,323.0,,,R1-1-RIO,2229026005,2229026005,Residential,Single Family Residence,2018-05-04,3.0,1.0,1,"612,000.00"
4233,CONVERT (E) 22' X 24' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-12-20,20000.0,490.0,,0.0,R1-1,2415016023,2415016023,Residential,Single Family Residence,2015-03-30,3.0,2.0,1,"445,014.00"
4234,CONVERSION OF (E) DETACHED GARAGE AND ADDITION TO  ACCESSORY DWELLING,2019-03-05,20000.0,394.0,,0.0,RD3-1,5213001010,5213001010,Residential,Single Family Residence,2018-07-24,3.0,1.0,1,"525,000.00"
4235,"CONVERT (E) 21'6"" X 19' ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER",2019-12-19,20000.0,1683.0,0.0,,R1-1-RFA,2559017006,2559017006,Residential,Single Family Residence,2015-08-06,3.0,2.0,1,"482,847.00"
4236,ADD 10' X 10' TO DETACHED GARAGE AND CONVERT TO ACCESSORY DWELLING UNI,2020-02-27,35000.0,450.0,,1.0,R2-1,5101030028,5101030028,Residential,Single Family Residence,2009-04-02,2.0,1.0,1,"236,643.00"
4237,(N) 25' X 42' IRREGULAR SHAPED ONE STORY ACCESSORY DWELLING UNIT PER A,2019-12-16,83000.0,994.0,,1.0,RE11-1,2727010029,2727010029,Residential,Single Family Residence,2017-11-28,4.0,2.0,1,"571,200.00"
4238,Convert (e) garage/storage to ADU per AB494 and SB229.,2019-12-19,40000.0,999.0,,0.0,R1-1,2236004009,2236004009,Residential,Single Family Residence,2017-07-03,4.0,2.0,1,"336,330.00"
4239,NEW DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 PER ENGINEE,2019-12-16,150000.0,1200.0,,1.0,RA-1,2722010006,2722010006,Residential,Single Family Residence,2014-10-14,2.0,2.0,1,"595,928.00"
4240,Convert (e) 24'x24' 2-car garage to ADU.,2019-12-16,38000.0,575.0,,1.0,R1V2,4303016003,4303016003,Residential,Single Family Residence,2018-11-27,2.0,1.0,1,"1,250,000.00"
4241,CONVERT EX. GARAGE AND ADDITION FOR AN ACCESSORY DWELLING UNIT PER AB,2019-12-18,100000.0,1168.0,,0.0,R1-1,2120028030,2120028030,Residential,Single Family Residence,2013-10-21,2.0,1.0,1,"162,024.00"
4242,(N) 2-story Accessory Dwelling Unit per AB 494 and SB 229.,2020-02-24,120000.0,1126.0,,2.0,R1-1-CUGU,2633009006,2633009006,Residential,Single Family Residence,1988-06-15,2.0,1.0,1,"184,426.00"
4243,"NEW 25'-0"" X 27'-0"" ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. WOR",2019-12-17,65650.0,675.0,,1.0,RS-1,2544028031,2544028031,Residential,Single Family Residence,2018-03-21,5.0,3.0,1,"795,600.00"
4244,Convert (E) rec. room to accessory dwelling unit and addition to acces,2019-12-19,37500.0,1911.0,,0.0,R1-1-O-CUGU,2619023017,2619023017,Residential,Single Family Residence,2018-07-27,2.0,1.0,1,"159,810.00"
4245,CONVERT EXISTING 1-STORY GARAGE TO ACCESSORY DWELLING UNIT PER AB 494,2019-12-17,38000.0,636.0,,0.0,R1-1,2340002040,2340002040,Residential,Single Family Residence,1998-06-24,3.0,3.0,1,"508,130.00"
4246,"CONVERT 17'5""x18'10"" ATTACHED GARAGE TO  ACCESSORY DWELLING UNIT PER A",2019-12-20,20000.0,1636.0,0.0,,RS-1,2682012005,2682012005,Residential,Single Family Residence,1996-02-06,4.0,2.0,1,"204,000.00"
4247,"PROPOSED NEW DETACHED ACCESSORY DWELLING UNIT (25'X19'6"") PER AB 494 &",2018-12-20,48000.0,488.0,,1.0,RS-1,2681016016,2681016016,Residential,Single Family Residence,2016-10-04,3.0,2.0,1,"172,730.00"
4248,Addition to & conversion of (e) det. garage to an accessory dwelling u,2019-12-19,35000.0,832.0,,1.0,R1V2,4248026018,4248026018,Residential,Single Family Residence,2002-04-10,3.0,3.0,1,"543,932.00"
4249,Supplemental to 18014-30000-06393 to add to ADU and convert bathroom i,2019-12-17,15000.0,60.0,,0.0,R1-1,4218007010,4218007010,Residential,Single Family Residence,2018-05-30,3.0,1.0,1,"999,600.00"
4250,"CONVERT (E) 21'-2"" X 21'-5"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2018-07-23,20000.0,371.0,0.0,0.0,RS-1,2678023013,2678023013,Residential,Single Family Residence,2005-12-30,3.0,2.0,1,"601,000.00"
4251,NEW 1-STORY ADU PER  AB494 & SB229,2018-06-19,35000.0,255.0,,1.0,R1V2,4247018021,4247018021,Residential,Single Family Residence,2018-04-04,4.0,3.0,1,"1,795,200.00"
4252,"Add 30'2"" x 29'9"" irregular shape accessory dwelling unit attached to",2019-07-30,91000.0,838.0,,1.0,R1-1,2222009008,2222009008,Residential,Single Family Residence,2018-08-02,3.0,2.0,1,"566,000.00"
4253,PROPOSED DETTACHED ACCESSORY DWELLING UNIT PER AB 494 & SB 229.,2019-12-19,121000.0,1200.0,,2.0,RE11-1,2734033006,2734033006,Residential,Single Family Residence,2008-06-27,2.0,1.0,1,"359,127.00"
4254,ADD AND CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND S,2018-10-26,60000.0,796.0,,1.0,R1-1,6014028019,6014028019,Residential,Single Family Residence,2018-03-19,4.0,2.0,1,"358,176.00"
4255,CONVERSION OF AN (E) SFD with attached garage TO AN ADU,2019-12-20,120000.0,1200.0,0.0,1.0,R1V2,4244003017,4244003017,Residential,Single Family Residence,1985-06-11,3.0,1.0,1,"276,265.00"
4256,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT,2020-02-27,24000.0,400.0,,1.0,R1-1-RIO,2235019044,2235019044,Residential,Single Family Residence,2002-07-05,3.0,2.0,1,"190,243.00"
4257,"NEW ADU 597 SF PER AB 494 and SB 229, CONVERT EXISTING SINGLE CAR GARA",2018-12-20,109700.0,597.0,,1.0,R1-1,2206015007,2206015007,Residential,Single Family Residence,2015-01-29,3.0,2.0,1,"461,181.00"
4258,New two-story (30'x20) Accessory Dwelling Unit per PER AB 494 & SB 229,2019-07-09,122000.0,1152.0,,2.0,RS-1-RIO,2024032016,2024032016,Residential,Single Family Residence,1997-11-13,4.0,2.0,1,"225,637.00"
4259,PROPOSED CONVERSION OF GARAGE TO STORAGE AND ACCESSORY DWELLING UNIT P,2019-12-17,20000.0,340.0,,1.0,R1-1,2335024004,2335024004,Residential,Single Family Residence,2001-10-23,4.0,3.0,1,"215,296.00"
4260,CONVERT EXSTING ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494,2018-03-19,50000.0,420.0,0.0,1.0,R1-1,2228023026,2228023026,Residential,Single Family Residence,2015-09-03,4.0,3.0,2,"654,398.00"
4261,NEW DETACHED 2-STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2019-02-25,131000.0,1152.0,,2.0,R1-1-RIO,2123021048,2123021048,Residential,Single Family Residence,2004-03-25,3.0,2.0,1,"599,030.00"
4262,CONVERT DETACHED RECREATION ROOM/STORAGE ROOM TO  ACCESSORY DWELLING U,2019-12-16,18000.0,0.0,,,R1-1-CUGU,2316009024,2316009024,Residential,Single Family Residence,2014-06-20,4.0,2.0,1,"467,035.00"
4263,"NEW 1- STORY STATE APPROVED MANUFACTURED ACCESSORY DWELLING UNIT 23'8""",2019-12-17,57000.0,1064.0,,1.0,RA-1,2103015018,2103015018,Residential,Single Family Residence,2018-01-04,0.0,0.0,0,"408,000.00"
4264,Conversion of (E) attached garage into an Accessory Dwelling Unit per,2019-12-16,21600.0,1911.0,0.0,,R1-1,6050011014,6050011014,Residential,Single Family Residence,1989-11-30,4.0,2.0,1,"219,847.00"
4265,Convert detached recreation room and patio cover to accessory dwelling,2019-12-17,20000.0,0.0,,,RA-1,2303017054,2303017054,Residential,Single Family Residence,2013-06-19,2.0,1.0,1,"333,595.00"
4266,SUPPLEMENTAL PERMIT TO 17014-20000-05502 TO REVISE FLOOR PLAN FOR ADU,2020-02-26,5000.0,,,,R3-1,5142021003,5142021003,Residential,Single Family Residence,2015-09-29,4.0,1.0,1,"378,433.00"
4267,"(N) one-story, detached Accessory Dwelling Unit per SB229 and AB494.",2019-12-18,120000.0,1009.0,,1.0,R1-1XL-CUGU,7422011029,7422011029,Residential,Single Family Residence,1998-06-12,3.0,2.0,1,"223,590.00"
4268,"CONVERT 17' 6"" X 21' 4"" (E) 2-CAR GARAGE TO ACCESSORY DWELLING UNIT PE",2019-05-23,84289.0,3102.0,,2.0,R1-1,2261035017,2261035017,Residential,Single Family Residence,2015-02-06,5.0,3.0,1,"811,271.00"
4269,"(N) 24'-0""x 28'-0"" TWO STORY ACCESSORY DWELLING UNIT PER AB 494 & SB 2",2018-07-23,114000.0,1133.0,,2.0,R1-1,4264013009,4264013009,Residential,Single Family Residence,1991-10-30,3.0,2.0,1,"99,946.00"
4270,"NEW 2-STORY DETACHED ACCESSORY DWELLING UNIT IRREGULAR SHAPED 27'-3""x2",2019-12-17,129280.0,1200.0,,2.0,R1-1,2331022013,2331022013,Residential,Single Family Residence,2004-09-16,3.0,2.0,1,"290,156.00"
4271,Addition to existing SFD and add ADU per AB494 and SB229. New roof dec,2020-02-26,260000.0,3252.0,0.0,2.0,R1V2,4236024009,4236024009,Residential,Single Family Residence,2002-03-12,2.0,1.0,1,"509,851.00"
4272,(N) 26' X 32' DETACHED ACCESSORY DWELLING UNIT PER AB 494 & SB 229. AL,2018-11-09,79184.0,782.0,,1.0,R1-1,2042009027,2042009027,Residential,Single Family Residence,1999-10-12,4.0,2.0,1,"440,887.00"
4273,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & S,2019-02-07,18400.0,407.0,,1.0,R1-1,6068009011,6068009011,Residential,Single Family Residence,2018-12-26,2.0,1.0,1,"315,500.00"
4274,"CONVERT (E) 26'-0"" X 35'-10"" STORAGE TO (N) ACCESSORY DWELLING UNIT PE",2019-12-17,41400.0,870.0,,0.0,RA-1,2041010008,2041010008,Residential,Single Family Residence,2014-10-08,3.0,2.0,1,"644,083.00"
4275,"Add irregular shape 21'-2"" x 30' attached accessory dwelling unit per",2019-12-16,50000.0,464.0,0.0,1.0,RD1.5-1,2568016036,2568016036,Residential,Single Family Residence,2018-03-16,1.0,1.0,1,"204,980.00"
4276,CONVERT EXISTING ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494,2019-07-01,30000.0,419.0,0.0,1.0,R1-1,2247018030,2247018030,Residential,Single Family Residence,2009-10-05,4.0,3.0,1,"721,494.00"
4277,"CONVERT (E) 28'-0"" X 47'-0"" GARAGE/STORAGE TO (N) ACCESSORY DWELLING U",2019-12-20,40000.0,1120.0,,0.0,R1-1,2202009014,2202009014,Residential,Single Family Residence,2005-04-12,3.0,2.0,1,"721,000.00"
4278,NEW 1 STORY DETACHED ADU PER AB 494 & SB 229,2019-05-16,60000.0,477.0,,1.0,R1-1-CUGU,2626008018,2626008018,Residential,Single Family Residence,2016-10-04,3.0,1.0,1,"379,121.00"
4279,"(N) 39'-4"" X 32'-0"" DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB",2019-12-20,120000.0,1199.0,,1.0,RE9-1XL-RFA,2696027017,2696027017,Residential,Single Family Residence,2018-10-29,2.0,2.0,1,"603,000.00"
4280,CONVERSION OF EXISTING GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494,2019-12-18,57000.0,975.0,,1.0,R1-1-O,4326023002,4326023002,Residential,Single Family Residence,1981-01-14,4.0,3.0,1,"622,557.00"
4281,"CONVERT 18'-2"" X 20'-1"" DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER",2019-12-16,30000.0,331.0,,,R1-1,2245012022,2245012022,Residential,Single Family Residence,1995-10-13,3.0,2.0,1,"245,704.00"
4282,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229,2019-12-17,17000.0,1838.0,0.0,,R1-1,2627013011,2627013011,Residential,Single Family Residence,2014-09-02,4.0,2.0,1,"436,341.00"
4283,"ADD (19'-1""x 26'-10"") 2ND STORY ACCESSORY DWELLING UNIT TO (E) DETACHE",2019-12-17,63000.0,470.0,,2.0,RD1.5-1,5043021026,5043021026,Residential,Single Family Residence,1988-04-22,2.0,1.0,1,"27,191.00"
4284,"NEW 20'9"" X 24' DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229",2019-12-18,50000.0,427.0,,1.0,RS-1,2024027032,2024027032,Residential,Single Family Residence,2002-12-03,3.0,2.0,1,"308,832.00"
4285,"CONVERT (E) 18'-4"" X 20'-3"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-12-19,30000.0,371.0,,,R1-1,5013026017,5013026017,Residential,Single Family Residence,2015-12-30,3.0,2.0,1,"706,795.00"
4286,"NEW 31'-6"" x 44'-3"" IRREGULAR SHAPED ACCESSORY DWELLING UNIT PER AB 49",2019-07-31,121000.0,1193.53,,2.0,R1-1-RIO,2254029018,2254029018,Residential,Single Family Residence,2018-10-03,2.0,1.0,1,"329,823.00"
4287,CONVERT ATTACHED GARAGE TO  ACCESSORY DWELLING UNIT AND EXTERIOR ACCES,2019-12-17,20000.0,405.0,0.0,1.0,R1-1,2042015018,2042015018,Residential,Single Family Residence,2016-04-22,3.0,2.0,1,"784,000.00"
4288,CONVERT DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND,2019-12-18,20000.0,322.0,,,R1-1-RIO,2269014035,2269014035,Residential,Single Family Residence,2017-11-15,4.0,2.0,1,"989,400.00"
4289,CONVERT (E) CARPORT TO ACCESSORY DWELLING UNIIT PER AB 494 AND SB 229.,2019-12-20,20000.0,282.0,,1.0,R1-1-CUGU,2536004013,2536004013,Residential,Single Family Residence,2018-10-10,2.0,2.0,1,"495,000.00"
4290,NEW 2-STORY ACCESSORY BUILDING WITH ACCESSORY DWELLING UNIT PER AB 494,2019-12-18,140000.0,847.54,,2.0,R1-1,4115005013,4115005013,Residential,Single Family Residence,2014-02-25,4.0,4.0,1,"1,282,366.00"
4291,NEW ADU PER AB 494 AND SB 229,2019-07-31,120000.0,1092.0,,1.0,RE11-1,2027004017,2027004017,Residential,Single Family Residence,2018-12-11,3.0,2.0,1,"630,000.00"
4292,"CONVERT (E) 18'5"" X 19'2"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT P",2019-08-01,10000.0,1918.0,0.0,,R1-1,2644021026,2644021026,Residential,Single Family Residence,2002-12-27,3.0,2.0,1,"225,326.00"
4293,"CONVERT 20'-3"" X 33'-5"" STORAGE ROOM INTO  ACCESSORY DWELLING UNIT PER",2018-07-09,19000.0,623.0,,1.0,R1-1,2283021005,2283021005,Residential,Single Family Residence,2017-12-12,4.0,3.0,1,"1,152,600.00"
4294,"(N) 2-STORY ACCESSORY DWELLING UNIT (1,200 S.F.) OVER NEW 3-CAR GARAGE",2018-10-17,160000.0,1200.0,,2.0,RD2-1XL-O-CPIO,5072022022,5072022022,Residential,Single Family Residence,2010-01-28,5.0,3.0,1,"551,955.00"
4295,CONVERT (E) DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB494 &,2019-06-07,19000.0,,,,RS-1,2678011024,2678011024,Residential,Single Family Residence,2018-01-16,3.0,2.0,1,"504,900.00"
4296,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494  AND,2020-02-24,15000.0,400.0,,1.0,R1-1,5057021026,5057021026,Residential,Single Family Residence,2009-03-20,3.0,2.0,1,"523,685.00"
4297,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-04-12,10000.0,440.0,,0.0,R1-1-O,5053010016,5053010016,Residential,"Double, Duplex, or Two Units",2016-08-01,3.0,2.0,2,"560,592.00"
4298,"27'-7"" x 38'-6"" IRRG. ADDITION TO (E) SFD FOR (N) ACCESSORY DWELLING U",2018-11-05,87000.0,788.0,0.0,0.0,R1-1-CUGU,2623027009,2623027009,Residential,Single Family Residence,2012-10-03,2.0,1.0,1,"209,736.00"
4299,PROPOSED CONVERSION OF 2-CAR GARAGE TO  ACCESSORY DWELLING UNIT PER AB,2018-08-15,25000.0,582.0,,0.0,R2-1,5104019027,5104019027,Residential,Single Family Residence,2006-11-01,3.0,1.0,1,"337,373.00"
4300,"CONVERT (E) 20'-0"" X 28'-6"" DETACHED STORAGE TO (N) ACCESSORY DWELLING",2019-10-11,26000.0,523.0,,0.0,R1-1-CUGU,2633034023,2633034023,Residential,Single Family Residence,2015-05-14,2.0,2.0,1,"426,961.00"
4301,(N) 1-STORY DETACHED ACCESSORY DWELLING UNIT PER AB494 & SB229 PER WFP,2019-05-06,107000.0,910.0,,1.0,R1-1,2215009003,2215009003,Residential,Single Family Residence,2009-04-07,2.0,2.0,1,"259,732.00"
4302,CONVERT (E) 18' X 20' GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & S,2019-07-11,17000.0,360.0,,0.0,R1-1-RFA,2555036022,2555036022,Residential,Single Family Residence,2017-05-02,4.0,3.0,1,"357,520.00"
4303,Convert detached garage to  Accessory Dwelling Unit per AB 494 & SB 22,2019-12-18,25000.0,325.0,,,RS-1,2669008015,2669008015,Residential,Single Family Residence,2016-02-19,4.0,2.0,1,"557,133.00"
4304,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND,2019-10-07,20000.0,422.0,0.0,0.0,R1-1-RFA,2555009004,2555009004,Residential,Single Family Residence,2018-04-26,4.0,2.0,1,"467,731.00"
4305,CONVERT EXISTING DETACHED STRUCTURE INTO ADU PER AB 2299 AND SB1069,2018-02-20,10000.0,324.0,,0.0,R1-1-RIO,5435029014,5435029014,Residential,Single Family Residence,2016-10-28,3.0,3.0,2,"975,487.00"
4306,CONVERT RECROOM PORTION OF (E) GARAGE / REC ROOM TO ACCESSORY DWELLING,2020-06-03,20000.0,0.0,,2.0,R1-1,2170010024,2170010024,Residential,Single Family Residence,2009-12-29,2.0,2.0,1,"540,182.00"
4307,(N) accessory dwelling unit at rear of lot per AB 494 and SB229. COMPL,2020-02-25,120000.0,1188.0,,2.0,R1-1XL,7442025001,7442025001,Residential,Single Family Residence,2016-07-01,3.0,3.0,1,"570,098.00"
4308,NEW DETACHED ACCESSORY DWELLING UNIT IN REAR OF LOT.,2020-02-28,106000.0,1015.0,,2.0,R1-1-O-HPOZ,5082022010,5082022010,Residential,Single Family Residence,2015-06-11,5.0,2.0,1,"970,769.00"
